"id","name","longitude","latitude"
29,"masakan rumah",106.8505007,-6.2555196
32,"Easykitchen06",106.8275549,-6.2545398
33,"Savoree Kitchen",106.8227000,6.1745000
41,"Koki Mini",106.8096735,-6.2468895
42,"BekalKu",106.8183323,-6.2095723
43,"Wersy Food",106.8783682,-6.2278946
44,"Rempah Catering",106.7945766,-6.2886652
45,"Healthy Bento",106.7881266,-6.1758970
46,"Toriageru",106.8238302,-6.1875787
47,"Spice Islands",110.3627943,-7.7781580
48,"Good Meals Inc",106.8587002,-6.2551450
49,"Waroeng Western",106.7850763,-6.2006895
50,"Safhady Kitchen",106.8183357,-6.3205917
52,"De Cinnamons",106.8639493,-6.2062185
53,"Kedai Biryani",106.7956334,-6.1686543
54,"Essen Food Service",106.8115222,-6.2436180
55,"Nasi Gemuk Citra 2",106.7070937,-6.1402134
56,"Kantin Enjoy",106.7106450,-6.1503793
57,"Wawa Kitchen",106.7647371,-6.1795796
58,"Mori Express",106.8092752,-6.2311602
59,"Punjab Kitchen",106.7619114,-6.2763451
60,"Phago Inc",106.8928010,-6.1751774
61,"Kana Catering",106.8336833,-6.1957977
62,"MyCater.Inc",106.6938221,-6.1467264
63,"Eat Lite",106.8169080,-6.1639463
64,"Icel Rooms Kitchen",106.8040824,-6.1700623
65,"Bumbu Jadoel",106.8637367,-6.1812916
66,"Antiloops Ribs Corner",106.8012299,-6.2548583
67,"The Baileyâ€™s and Chloe",106.7828697,-6.1720515
80,"Your Personal Chef",106.7911077,-6.2329166
81,"Omukii",106.7661506,-6.2166870
82,"Kadoya",106.7691153,-6.1696502
83,"Nasi Kotak-kotak",106.7974730,-6.2441665
84,"Penyetan Cok",106.8006937,-6.2446244
85,"Bengkel Penyet",106.7774992,-6.1723166
86,"Dapur Chef Lina",106.8095585,-6.2309623
87,"L&L Hawaiian Barbecue",106.7916104,-6.1765125
88,"Green Lettuce",106.8384629,-6.2824425
89,"Chef Alpin Reyner",106.8406972,-6.1830595
90,"Crystal Delight",106.8006689,-6.2446212
91,"Dapur Mak Yus",106.7598655,-6.2731698
92,"Ha - Ha La",106.7099006,-6.1235242
93,"Aquariuz Catering",106.8267041,-6.1565981
94,"Ekklesia",106.7941921,-6.1625876
95,"Aconk Catering",106.7834938,-6.1614089
96,"Makandotcom",106.8363145,-6.2093343
97,"Shitoku",106.8103980,-6.2136606
98,"Dapoer Ibu Ross",106.7148027,-6.1766943
99,"Poetri Alim Catering",106.8243522,-6.2852606
100,"Nasi Pecel Dapur Ibu",106.8053648,-6.2090636
101,"Catering Rumahan",106.7601367,-6.2051372
102,"Papadut",106.7234968,-6.1367199
103,"NJ Snack & Food",106.8561132,-6.1762063
104,"Rose Catering",106.7959925,-6.1574728
105,"MIKU66",106.8077986,-6.2559408
106,"Fajar Express",106.8467027,-6.1560754
107,"Waroeng Boenartie",106.8162274,-6.2110448
108,"Eva Catering",106.7968592,-6.2274007
109,"Dapur Ibu",106.8085885,-6.2914646
110,"Catering Mbok Hu-hah",106.9576496,-6.2500431
111,"Kedai Prasmanan",106.7727448,-6.2732364
112,"Oey Catering",106.8251887,-6.1862834
113,"Abram Rasa",106.9178644,-6.1423255
118,"Cita Mutiara Catering",106.8081111,-6.2646833
119,"Voor Ngana",106.8054517,-6.2873748
120,"Dapur Mak Entin",106.8767243,-6.1175563
121,"SLIMCO ID",106.8545710,-6.1400908
122,"THIRTEENDAYS CATERING",106.7757227,-6.1762863
123,"TALEKA 23",106.9111035,-6.1755783
124,"Sushi Ramen Street",106.8921554,-6.1453337
125,"Oto Bento",106.8160585,-6.2112448
126,"Echa Mirasa Catering",106.8862318,-6.1853741
127,"Sejuta Rasa Food",106.7293507,-6.1399041
128,"Kemayangan Resto",106.7898104,-6.2467422
129,"Onde Mande Food",106.8977371,-6.1702730
130,"Ell's Kitchen",106.7098510,-6.1382293
131,"Dapur Kakak",106.8032268,-6.2442732
132,"Healthy Culture",106.7732350,-6.2753827
133,"Veggie Sushi",106.7781169,-6.1136366
134,"TIM HO WAN",106.8212003,-6.1950191
135,"The Halal Bro's Id",106.8089855,-6.2510136
136,"White Tofu Meals",106.8233755,-6.2799791
137,"Mamas Pie",106.7063092,-6.1836115
138,"Dapur Miji",106.8146526,-6.1507346
139,"Suntiang Kitchen",106.8301521,-6.2151272
140,"Finetasty",106.8160011,-6.2374002
141,"Dapur Pakde",106.8023641,-6.1731817
142,"Shitako Takoyaki",106.8931425,-6.1530354
143,"Kudu Nasi",106.9194610,-6.2386327
144,"Pondok Rawon",106.8268222,-6.2240943
145,"Mbah Jingkrak Catering",106.7240131,-6.2931602
146,"AG Management",106.9142722,-6.1275779
147,"Kedai Sansan",106.8080715,-6.2362156
148,"Oey Catering Premium",106.8252772,-6.1863314
149,"Karumi Food",106.8559865,-6.2351664
150,"Fina Catering",106.8376221,-6.3376839
151,"Mars Kitchen",106.7972213,-6.2703703
152,"Ny. Sudarti",106.7905802,-6.2408071
153,"Otts & Jill",106.7852023,-6.1651850
154,"Family Q Catering",106.8035768,-6.2778195
155,"Ummu Uwais",106.9142139,-6.2569113
156,"Tiga Kitchen Catering",106.8472257,-6.1841235
157,"Dapur Nusantara",106.8541138,-6.3108274
158,"K kitchen",106.8093985,-6.2310589
159,"L Kitchen",106.8095809,-6.2309416
160,"Kanjeng Nyonyah",106.7551214,-6.2456597
161,"Familia Catering Basic",106.7938203,-6.1928965
162,"Eat Me",106.7728387,-6.1855395
163,"Dapur Jakarta",106.8064655,-6.1688197
164,"Hasanah Catering",106.8070543,-6.1972697
165,"Warunge Uti",106.7938149,-6.2742096
166,"Baltimore Catering",106.8512088,-6.1234762
167,"Kue Enak Catering",106.7542899,-6.2437986
168,"Rasanawe Catering",106.7617035,-6.2593323
169,"Medi Catering",106.8693620,-6.1618782
170,"Intan Catering",106.9182587,-6.2934588
171,"Sari Tanabang Catering",106.8131509,-6.1932539
172,"Ratna Catering",106.7838585,-6.2604414
173,"CBD Kitchen",106.8103266,-6.2401351
174,"YUS kitchen",106.7534637,-6.1187077
175,"3 Prima Catering",106.8491006,-6.1762250
176,"Sambal Kita Catering",106.8486267,-6.2935978
177,"Dapur Nurdin",106.7936257,-6.1598712
178,"Tirta Sari Kitchen",106.8559314,-6.1724910
179,"Chefex Kitchen",106.7229501,-6.1656077
180,"Omah Pincuk",106.8467833,-6.2718728
181,"Asshidiq Indonesia",106.7522723,-6.2514964
182,"Pasar Minggu Catering",106.8437711,-6.2900346
183,"J Kitchen",106.8033341,-6.2425259
185,"Gulali Kitchen",106.8140760,-6.2166810
190,"Groovy Belly",106.9066232,-6.1657183
191,"KBJB",106.7688110,-6.1963790
192,"TGR-B",106.6417434,-6.2315489
193,"KBJD",106.7688110,-6.1963790
194,"TGR-D",106.6417434,-6.2315489
195,"Familia Catering Deluxe",106.7944737,-6.1931133
196,"Favorit Catering Healthy",106.8614147,-6.1760756
197,"Favorit Catering Deluxe",106.9524300,-6.2493179
211,"Betawi Corner by Kafe Betawi (Setiabudi)",106.8300727,-6.2152630
212,"Betawi Corner by Kafe Betawi (PP)",106.8095197,-6.2248885
213,"Betawi Corner by Kafe Betawi (Kuningan)",106.8294024,-6.2250862
214,"Betawi Corner by Kafe Betawi (PI)",106.8222483,-6.1930036
215,"Belly Bandit",106.8251714,-6.2284535
216,"Zhuma Kota Kasablanka",106.8422208,-6.2225284
217,"Belly Bandit 2",106.8255871,-6.2278787
218,"Thai Street Setiabudi One",106.8300462,-6.2152125
219,"Restoran Sederhana Masakan Padang",106.8093747,-6.2285981
220,"ACS",106.7685482,-6.1958449
221,"Chicken Run SB One",106.8300247,-6.2151352
222,"Ayam Kriwil Express",106.8207389,-6.2207907
223,"ANGKASA KITCHEN",106.8446696,-6.1572061
224,"DJK-PINK",106.8064830,-6.1688549
225,"Twenty Eight by Williams",106.8095190,-6.2309180
226,"Kopi Oey",106.8246710,-6.1834735
227,"Twenty Eight by William's - Dinner",106.8096549,-6.2308612
228,"Betawi Corner By Kafe Betawi (Lippo Mall Kemang)",106.8122652,-6.2603437
229,"Betawi Corner By Kafe Betawi (Lippo Mall Puri)",106.7387009,-6.1878301
230,"Betawi Corner By Kafe Betawi (Mall Kelapa Gading)",106.9080019,-6.1575155
231,"Betawi Corner By Kafe Betawi (Kota Kasablanka)",106.8431997,-6.2240943
233,"Kopi Oey Dinner",106.8247009,-6.1836380
251,"Bakmipedia",106.8133890,-6.2162809
252,"Restoran Sederhana Masakan Padang - Dinner",106.8093357,-6.2285837
253,"Zhuma Kota Kasablanka - Dinner",106.8431568,-6.2240943
